longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
9.327,47.805,32195.0,2024-11-10 15:30:00,0.0,0.8781,-16.516,19.914,110.0,115.0,0.0,9655000000000.0,1.316e-06,Konstanz_Germany,1.1298867875683052,321.95,11,1,1.099786311490653,15,3.3980000000000032
9.402,47.883,33609.0,2024-11-10 15:40:00,0.0,0.2433,-11.242,4.262,375.0,117.0,2164.0,20487000000000.0,8.64e-07,Konstanz_Germany,1.1758983000066685,336.09,11,1,1.1091758928593087,15,-6.980000000000001
9.416,47.9,34094.0,2024-11-10 15:40:00,0.0,2.8679,-11.102,60.429,63.0,103.0,0.0,13643000000000.0,1.424e-06,Konstanz_Germany,1.1082775723060792,340.94,11,1,1.1074651825767043,15,49.327
9.463,47.946,34541.0,2024-11-10 15:50:00,0.0,0.1008,0.0,1.746,728.0,129.0,2162.0,16586000000000.0,8.19e-07,Konstanz_Germany,1.0707889936166999,345.41,11,1,1.096649694319759,15,1.746
9.477,47.963,35026.0,2024-11-10 15:50:00,0.0,0.2177,0.0,5.064,462.0,117.0,2082.0,17621000000000.0,1.131e-06,Konstanz_Germany,1.0888579732087214,350.26,11,1,1.0932430105002655,15,5.064
9.507,47.994,34987.0,2024-11-10 16:00:00,0.0,0.0106,0.0,0.079,946.0,147.0,2187.0,16362000000000.0,3.3e-07,Konstanz_Germany,1.1903088738663345,349.87,11,1,1.11577631682203,16,0.079
9.493,47.978,35515.0,2024-11-10 15:50:00,0.0,1.8615,0.0,46.813,93.0,104.0,0.0,11210000000000.0,1.509e-06,Konstanz_Germany,1.1234628698957505,355.15,11,1,1.0891592966523405,15,46.813
9.521,48.012,35472.0,2024-11-10 16:00:00,0.0,0.0766,0.0,1.514,806.0,135.0,2114.0,13851000000000.0,9.27e-07,Konstanz_Germany,1.095841298247552,354.72,11,1,1.0914464277780676,16,1.514
9.536,48.028,35961.0,2024-11-10 16:00:00,0.0,0.0918,0.0,1.886,732.0,124.0,1975.0,15004000000000.0,9.56e-07,Konstanz_Germany,1.0003949221641821,359.61,11,1,1.0753796810528133,16,1.886
9.552,48.042,36447.0,2024-11-10 16:00:00,0.0,0.2578,0.0,6.084,328.0,114.0,2027.0,14994000000000.0,1.127e-06,Konstanz_Germany,1.0586065870050423,364.47,11,1,1.0773842316743922,16,6.084
9.578,48.077,36407.0,2024-11-10 16:10:00,0.0,0.0396,0.0,0.398,612.0,137.0,1918.0,15524000000000.0,4.43e-07,Konstanz_Germany,1.051972927869839,364.07,11,1,1.0811794935930934,16,0.398
9.569,48.056,36936.0,2024-11-10 16:00:00,0.0,1.4995,0.0,39.742,94.0,105.0,0.0,9168000000000.0,1.506e-06,Konstanz_Germany,1.134830432146495,369.36,11,1,1.115582061777792,16,39.742
9.645,48.13,38360.0,2024-11-10 16:10:00,0.0,0.1235,0.0,1.761,211.0,105.0,0.0,7203000000000.0,6.43e-07,Konstanz_Germany,1.0860263079233554,383.6,11,1,1.1041922036780294,16,1.761
9.818,48.302,38839.0,2024-11-10 16:30:00,0.0,0.4975,0.0,12.166,110.0,100.0,0.0,7065000000000.0,1.233e-06,Konstanz_Germany,1.2442237927397137,388.39,11,1,1.10404966896598,16,12.166
9.894,48.378,38835.0,2024-11-10 16:40:00,0.0,0.1964,0.0,3.831,158.0,102.0,0.0,6945000000000.0,9.26e-07,Konstanz_Germany,1.1810089362123106,388.35,11,1,1.0982989588085228,16,3.831
