station_id,name,latitude,longitude,elevation,date_range
GMM00010113,NORDERNEY,53.7139,7.1525,11.0,2011-06-20 18:00:00 to 2011-06-20 18:00:00
ITM00016037,AVIANO,46.0303,12.5992,113.0,2010-01-04 00:00:00 to 2010-01-04 00:00:00
ITM00016045,UDINE/RIVOLTO RDS,45.9806,13.0592,50.0,2016-06-16 18:00:00 to 2016-06-16 18:00:00
ITM00016546,DECIMOMANNU RDS,39.3461,8.9675,29.0,2012-02-28 12:00:00 to 2012-02-28 12:00:00
NOM00001010,ANDOYA,69.3153,16.1308,10.0,2014-11-26 00:00:00 to 2014-11-26 00:00:00
RSM00037099,SOCHI,43.5833,39.7667,141.9,2013-12-05 06:00:00 to 2013-12-05 06:00:00
SPM00008383,HUELVA,37.2783,-6.9117,19.0,2018-12-12 00:00:00 to 2018-12-12 00:00:00
TUM00017196,KAYSERI BOLGE,38.6833,35.4833,1096.0,2016-01-04 12:00:00 to 2016-01-04 12:00:00
UKM00033966,KRYMSKA,45.0464,34.5989,204.6,2011-01-01 00:00:00 to 2011-01-01 00:00:00
